activity name,time started,time ended,comment,categories,record tags,duration,duration minutes
"Work",2024-08-16 07:15:59,2024-08-16 15:32:53,"","","",8:16:54,496
"Work",2024-08-16 09:51:45,2024-08-16 09:52:58,"","","",0:1:13,1
"Exercise ",2024-08-16 19:35:40,2024-08-16 20:40:13,"","","",1:4:33,64
"Exercise ",2024-08-18 16:32:13,2024-08-18 17:32:50,"","","",1:0:37,60
"Study",2024-08-18 17:33:18,2024-08-18 17:33:19,"","","",0:0:1,0
"Gaming ",2024-08-18 20:25:25,2024-08-18 21:21:24,"","","",0:55:59,55
"Sleep ",2024-08-18 21:50:53,2024-08-19 05:30:55,"","","",7:40:2,460
"Work",2024-08-19 07:22:59,2024-08-19 15:30:29,"","","",8:7:30,487
"Sleep ",2024-08-19 22:44:47,2024-08-20 05:36:00,"","","",6:51:13,411
"Work",2024-08-20 07:57:58,2024-08-20 15:33:00,"","","",7:35:2,455
"Exercise ",2024-08-20 20:05:47,2024-08-20 21:20:00,"","","",1:14:13,74
"Sleep ",2024-08-20 22:22:47,2024-08-21 05:32:28,"","","",7:9:41,429
"Work",2024-08-21 07:23:55,2024-08-21 16:00:34,"","","",8:36:39,516
"Sleep ",2024-08-21 20:48:16,2024-08-22 06:16:14,"","","",9:27:58,567
"Work",2024-08-22 07:55:24,2024-08-22 15:40:00,"","","",7:44:36,464
"Exercise ",2024-08-22 20:31:51,2024-08-22 21:29:31,"","","",0:57:40,57
"Sleep ",2024-08-22 22:43:03,2024-08-23 05:30:37,"","","",6:47:34,407
"Work",2024-08-23 07:22:39,2024-08-23 15:30:19,"","","",8:7:40,487
"Skate",2024-08-25 14:50:25,2024-08-25 16:30:38,"","","",1:40:13,100
"Sleep ",2024-08-25 21:53:50,2024-08-26 05:32:16,"","","",7:38:26,458
"Work",2024-08-26 07:19:36,2024-08-26 15:30:34,"","","",8:10:58,490
"Commute",2024-08-27 06:25:15,2024-08-27 07:25:05,"","","",0:59:50,59
"Work",2024-08-27 07:26:41,2024-08-27 15:40:03,"","","",8:13:22,493
"Commute",2024-08-27 15:40:04,2024-08-27 16:55:33,"","","",1:15:29,75
"Exercise ",2024-08-27 19:51:10,2024-08-27 21:04:08,"","","",1:12:58,72
"Sleep ",2024-08-28 22:19:22,2024-08-29 05:32:52,"","","",7:13:30,433
"Work",2024-08-29 07:37:20,2024-08-29 15:39:50,"","","",8:2:30,482
"Commute",2024-08-29 15:40:28,2024-08-29 16:53:20,"","","",1:12:52,72
"Study",2024-08-31 11:11:50,2024-08-31 11:38:22,"","","",0:26:32,26
